2015-05-21 19:37:02 ERROR  prueba.MainLog:12 mylog- JODER CON LOS Q TOCAN!!!!!
2015-05-22 15:25:25 INFO   ejercicioRecopilacion.ListaPersonas:37 logTami- lista creada...
2015-05-22 15:25:25 INFO   ejercicioRecopilacion.MainListaPersonas:15 logTami- empezando...
2015-05-22 15:25:25 INFO   ejercicioRecopilacion.ListaPersonas:59 logTami- Pepe encontrado...
2015-05-22 15:25:25 INFO   ejercicioRecopilacion.ListaPersonas:59 logTami- Pepe encontrado...
2015-05-22 15:25:25 INFO   ejercicioRecopilacion.ListaPersonas:59 logTami- Juan encontrado...
2015-05-26 14:55:23 INFO   ejercicioRecopilacion.ListaPersonas:37 logTami- lista creada...
2015-05-26 14:55:23 INFO   ejercicioRecopilacion.MainListaPersonas:15 logTami- empezando...
2015-05-26 14:55:23 INFO   ejercicioRecopilacion.ListaPersonas:59 logTami- Pepe encontrado...
2015-05-26 14:55:23 INFO   ejercicioRecopilacion.ListaPersonas:59 logTami- Pepe encontrado...
2015-05-26 14:55:23 INFO   ejercicioRecopilacion.ListaPersonas:59 logTami- Juan encontrado...
